Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	15.8	25.7	26.9	40.1	22.3	36.7	23.2	32.9
2008	19.1	30.2	28.6	37.6	25.5	35.5	22.2	32.7
2009	20.3	26.1	24.5	33.3	22.8	30.9	23.1	34.3
2010	16.9	31.7	23.6	31.8	23.1	38.9	24.8	37.6
2011	17.8	28.7	22.8	38	21.5	34.4	25.4	39.3
2012	15.1	20.9	24.1	37.4	19.6	31.5	20.2	32.3
2013	14.6	26.8	22.5	40	18.5	33.1	22.1	36.7
2014	14.1	25	20.6	33.9	18.8	26.6	20.4	29.7
