Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	34	47	358	246	205	177	231	237
2008	47	52	380	265	228	191	210	246
2009	55	48	384	285	215	172	229	290
2010	51	64	384	279	219	187	258	245
2011	51	60	410	307	196	200	253	258
2012	57	76	409	308	200	194	240	292
2013	60	96	419	300	221	192	238	265
2014	50	71	398	318	209	186	228	292
