Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	7.9	16.7	14.8	22.7	12.8		19.6	21.7
2008	7.9	16.1	17.1	26.4	16.8	22.8	21.4	21.8
2009	7.4	16.9	16.4	22.6	16	18.3	19.1	23.3
2010	6.7	17.8	17.7	30.9	15.4	23.9	20.7	24.2
2011	6.6	22	18.6	29.1	15	19.2	21	27.8
2012	8	15.1	16.9	27.3	14.6	19.2	21.4	21.8
2013	5.2	18.5	20.8	26.1	14.8	20	21.6	26.4
2014	6.3	22.9	17.9	25.4	16.8	19.3	21	24
