Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	13.6	11.6	26.5	25	14	11.6	25.9	20
2008	12.2	9.6	25.5	24.3	12.9	11.2	26.4	18.3
2009	11.1	11.4	23.4	18.1	12.9	12.7	27.1	16.9
2010	15.8	15.9	24.7	20.1	13.8	12.3	26.7	20.6
2011	17.2	15	26.8	23.4	14.6	12.8	32.9	21.7
2012	17.5	13	25.9	19.9	13.6	11	29.3	21.3
2013	13.3	12.8	25.9	22.3	17.8	13.4	30	18.5
2014	17.9	15.9	26.1	22.8	17.4	13.8	29.5	20.6
