Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	29	43	163	137	116		472	345
2008	30	46	191	169	156	132	518	347
2009	30	51	188	147	156	111	458	371
2010	28	61	206	202	156	149	501	388
2011	30	73	221	100	156	123	510	444
2012	39	55	204	184	158	132	507	352
2013	27	72	258	184	168	142	521	437
2014	36	95	220	186	193	145	515	399
