Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	5.6	8.9	15.5	16.1	9.9		32.9	25.8
2008	5.6	9.2	18.2	19.9	13.2	11.9	36.1	25.9
2009	5.5	10	18	17.3	12.9	9.9	31.9	27.6
2010	5	11.7	19.6	23.7	12.8	13	35	28.9
2011	5.3	13.8	21.1	23.4	12.7	10.7	36	33.3
2012	6.7	10.2	19.5	21.5	12.8	11.3	35.7	26.3
2013	4.5	13	24.7	21.4	13.5	12	36.6	32.5
2014	5.8	16.6	21	21.5	15.2	12.1	36.3	29.7
