Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	395	528	1800	1523	969	1013	3518	3356
2008	344	473	1756	1464	1046	1080	3366	3361
2009	398	506	1735	1557	1097	1180	3346	3236
2010	414	526	1768	1540	1045	1507	3438	3408
2011	451	550	1918	1590	1085	1144	3371	3222
2012	461	622	1912	1563	1125	1126	3256	3184
2013	467	633	1784	1592	1149	1146	3187	3132
2014	502	657	1852	1532	1154	1146	3153	3142
