Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	58	66	295	229	190	189	659	530
2008	73	90	318	222	227	187	621	529
2009	83	84	281	207	216	183	629	555
2010	74	108	275	201	228	235	707	614
2011	83	94	273	243	218	209	696	646
2012	74	76	295	242	209	205	576	540
2013	78	102	285	274	204	233	622	618
2014	80	105	266	242	218	199	563	502
