Year	Asian and Pacific Islander, Female	Asian and Pacific Islander, Male	Black Non-Hispanic, Female	Black Non-Hispanic, Male	Hispanic, Female	Hispanic, Male	White Non-Hispanic, Female	White Non-Hispanic, Male
2007	11.3	13.6	28	26.9	16.3	17.3	45.9	39.6
2008	13.7	18.1	30.4	26.1	19.2	16.9	43.3	39.4
2009	15.1	16.5	26.8	24.4	18	16.3	43.8	41.3
2010	13.2	20.7	26.2	23.6	18.7	20.6	49.4	45.8
2011	14.5	17.8	26.1	28.5	17.8	18.1	49.1	48.4
2012	12.7	14.1	28.2	28.3	16.9	17.5	40.6	40.3
2013	13	18.4	27.3	31.9	16.3	19.7	43.7	45.9
2014	12.8	18.3	25.3	28	17.2	16.7	39.7	37.4
