Year,"Asian and Pacific Islander, Female","Asian and Pacific Islander, Male","Black Non-Hispanic, Female","Black Non-Hispanic, Male","Hispanic, Female","White Non-Hispanic, Female","White Non-Hispanic, Male"
2007,6.3,8.3,15,22,8.9,5.9,7.6
2008,8,9.8,17.1,20.9,11.4,5.9,10.3
2009,4.6,7.2,19.6,19,8.8,7.8,9.1
2010,7.1,8.7,21.4,27.7,9.5,7.7,9.4
2011,10.2,10.5,18.7,21.7,8.1,6.8,8.8
2012,7.8,10.8,17.4,21.3,9.5,7.2,9.3
2013,9.3,8.4,18.9,20.9,9.3,7.5,9.3
2014,5.1,,15.9,21.6,10.1,6.7,10.5
